file,profile,policy,seed,belief_ttl,max_observations,sensor_mode,device,learned_model,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,replan_count,stale_count,path_length,viewpoint_travel,brier_score,final_entropy,information_gain_per_meter,unresolved_gate_entries,dynamic_intercepted,avg_sensor_corruption_ms,avg_perception_ms,elapsed_seconds,simulation_steps
fixed-multiview__depth-degradation__seed-20019.json,depth-degradation,fixed-multiview,20019,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,8.752000000000006,5.312000000000004,0.0859056382771984,0.8199885573177143,0.03780270067639892,0,False,97.16187993685405,171.44457379976907,3.2357760090380907,577
fixed-multiview__dynamic-change__seed-20000.json,dynamic-change,fixed-multiview,20000,60,4,camera-rgbd-corrupted,cuda:0,,True,False,True,False,3,0,0,11.568000000000008,8.320000000000006,7.900553117728488e-05,0.008351407375908414,0.11970050649330852,0,False,129.75494623184204,14.626298487186432,3.0792783480137587,753
fixed-multiview__dynamic-change__seed-20001.json,dynamic-change,fixed-multiview,20001,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,True,3,0,0,13.37600000000001,8.320000000000006,0.0015225492059765448,0.025387467123453862,0.11714092943227711,0,False,103.60996540387471,13.843423962593079,2.7842737399041653,866
fixed-multiview__dynamic-change__seed-20002.json,dynamic-change,fixed-multiview,20002,60,4,camera-rgbd-corrupted,cuda:0,,True,False,True,False,3,0,0,9.056000000000006,5.312000000000004,0.00014979274845906485,0.040056258210927315,0.18788454851062625,0,False,97.72233029206593,14.665237863858541,2.6440942361950874,596
fixed-multiview__dynamic-change__seed-20003.json,dynamic-change,fixed-multiview,20003,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,True,3,0,0,13.37600000000001,8.320000000000006,0.002684530345552494,0.034312557121331376,0.11606820226907066,0,False,100.0585040251414,14.058308521906534,3.0296406149864197,866
fixed-multiview__dynamic-change__seed-20004.json,dynamic-change,fixed-multiview,20004,60,4,camera-rgbd-corrupted,cuda:0,,True,False,True,False,3,0,0,11.488000000000008,7.680000000000005,4.191904125319366e-05,0.002785010396036165,0.12984570177134938,0,False,102.741836587588,16.583625316619873,3.0330810733139515,748
fixed-multiview__dynamic-change__seed-20005.json,dynamic-change,fixed-multiview,20005,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,True,3,0,0,13.37600000000001,8.320000000000006,0.002675197690264364,0.06652457991752019,0.11507334311917236,0,False,117.53902796904246,13.653320590655008,3.0152418967336416,866
fixed-multiview__dynamic-change__seed-20006.json,dynamic-change,fixed-multiview,20006,60,4,camera-rgbd-corrupted,cuda:0,,True,False,True,False,3,0,0,9.056000000000006,5.312000000000004,0.0002385820050763108,0.1477652873859907,0.17468411892473037,0,False,116.91562922795613,14.595284203688303,2.7757773846387863,596
fixed-multiview__dynamic-change__seed-20007.json,dynamic-change,fixed-multiview,20007,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,True,3,0,0,8.752000000000006,5.312000000000004,0.006204220824593324,0.3157789873931155,0.14135204090310519,0,False,117.27049112319946,226.2951963543892,3.3466886561363935,577
fixed-multiview__dynamic-change__seed-20008.json,dynamic-change,fixed-multiview,20008,60,4,camera-rgbd-corrupted,cuda:0,,True,False,True,False,3,0,0,11.568000000000008,8.320000000000006,0.005314068237288254,0.09131392326776006,0.11722329913987868,0,False,126.32730913162231,15.604646980762482,3.059552911669016,753
