file,scenario,policy,seed,noise_profile,noise_rate,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,path_length,elapsed_seconds,simulation_steps
majority-vote__blocked__noise-0.3__seed-05.json,blocked,majority-vote,5,random,0.3,True,True,False,False,3,5.135999085381627,1.284940768033266,381
majority-vote__blocked__noise-0.3__seed-06.json,blocked,majority-vote,6,random,0.3,True,True,False,False,3,5.135999085381627,1.393643219023943,381
majority-vote__blocked__noise-0.3__seed-07.json,blocked,majority-vote,7,random,0.3,True,True,False,False,3,5.135999085381627,1.3723741322755814,381
majority-vote__blocked__noise-0.3__seed-08.json,blocked,majority-vote,8,random,0.3,True,False,True,False,3,4.640001406893134,0.9725750982761383,350
majority-vote__blocked__noise-0.3__seed-09.json,blocked,majority-vote,9,random,0.3,True,True,False,False,3,5.135999085381627,1.3390947673469782,381
majority-vote__blocked__noise-0.3__seed-10.json,blocked,majority-vote,10,random,0.3,True,True,False,False,3,5.135999085381627,1.3502545300871134,381
majority-vote__blocked__noise-0.3__seed-11.json,blocked,majority-vote,11,random,0.3,True,True,False,False,3,5.135999085381627,1.0799799971282482,381
majority-vote__blocked__noise-0.3__seed-12.json,blocked,majority-vote,12,random,0.3,True,True,False,False,3,5.135999085381627,1.1778456252068281,381
majority-vote__blocked__noise-0.3__seed-13.json,blocked,majority-vote,13,random,0.3,True,True,False,False,3,5.135999085381627,1.5370781123638153,381
majority-vote__blocked__noise-0.3__seed-14.json,blocked,majority-vote,14,random,0.3,True,True,False,False,3,5.135999085381627,1.241475099697709,381
majority-vote__blocked__noise-0.3__seed-15.json,blocked,majority-vote,15,random,0.3,True,True,False,False,3,5.135999085381627,1.5256810002028942,381
majority-vote__blocked__noise-0.3__seed-16.json,blocked,majority-vote,16,random,0.3,True,True,False,False,3,5.135999085381627,1.475468385964632,381
majority-vote__blocked__noise-0.3__seed-17.json,blocked,majority-vote,17,random,0.3,True,True,False,False,3,5.135999085381627,1.419596480205655,381
majority-vote__blocked__noise-0.3__seed-18.json,blocked,majority-vote,18,random,0.3,True,True,False,False,3,5.135999085381627,1.494838923215866,381
majority-vote__blocked__noise-0.3__seed-19.json,blocked,majority-vote,19,random,0.3,True,True,False,False,3,5.135999085381627,1.3763025924563408,381
majority-vote__clear__noise-0.0__seed-00.json,clear,majority-vote,0,random,0.0,True,True,False,False,3,4.640001406893134,0.9203027281910181,350
majority-vote__clear__noise-0.0__seed-01.json,clear,majority-vote,1,random,0.0,True,True,False,False,3,4.640001406893134,0.977335823699832,350
majority-vote__clear__noise-0.0__seed-02.json,clear,majority-vote,2,random,0.0,True,True,False,False,3,4.640001406893134,0.995463540777564,350
majority-vote__clear__noise-0.0__seed-03.json,clear,majority-vote,3,random,0.0,True,True,False,False,3,4.640001406893134,0.9188346285372972,350
majority-vote__clear__noise-0.0__seed-04.json,clear,majority-vote,4,random,0.0,True,True,False,False,3,4.640001406893134,0.9548276606947184,350
majority-vote__clear__noise-0.0__seed-05.json,clear,majority-vote,5,random,0.0,True,True,False,False,3,4.640001406893134,0.9586612693965435,350
majority-vote__clear__noise-0.0__seed-06.json,clear,majority-vote,6,random,0.0,True,True,False,False,3,4.640001406893134,0.9889498669654131,350
