policy,profile,episodes,completed_episodes,failed_episodes,unsafe_crossing_count,unsafe_crossing_denominator,unsafe_crossing_rate,unsafe_crossing_wilson_ci95_low,unsafe_crossing_wilson_ci95_high,safe_success_count,safe_success_denominator,safe_success_rate,safe_success_wilson_ci95_low,safe_success_wilson_ci95_high,wrong_detour_count,wrong_detour_denominator,wrong_detour_rate,wrong_detour_wilson_ci95_low,wrong_detour_wilson_ci95_high,contract_repair_success_count,contract_repair_success_denominator,contract_repair_success_rate,contract_repair_success_wilson_ci95_low,contract_repair_success_wilson_ci95_high,plan_invalidation_correct_count,plan_invalidation_correct_denominator,plan_invalidation_correct_rate,plan_invalidation_correct_wilson_ci95_low,plan_invalidation_correct_wilson_ci95_high,echo_rejection_success_count,echo_rejection_success_denominator,echo_rejection_success_rate,echo_rejection_success_wilson_ci95_low,echo_rejection_success_wilson_ci95_high,calibration_samples,brier_score,ece_10_bin,conformal_samples,conformal_covered_count,conformal_coverage,conformal_coverage_wilson_ci95_low,conformal_coverage_wilson_ci95_high,conformal_miscoverage,conformal_miscoverage_wilson_ci95_low,conformal_miscoverage_wilson_ci95_high,avg_observation_count,avg_replan_count,avg_path_length
naive-majority,pose-calibration-drift,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.785579015970363
naive-majority,shared-occlusion,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.785579015970363
naive-majority,structured-depth-dropout,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.785579015970363
naive-majority,time-skew,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.785579015970363
purify-active,dynamic-change,2,2,0,0,2,0.0,0.0,0.6576197724933469,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,2,2,1.0,0.34238022750665303,1.0,0,0,,,,0,0,,,,2,0.3593531520214595,0.4589834126755597,2,1,0.5,0.09453120573423074,0.9054687942657693,0.5,0.09453120573423068,0.9054687942657693,2.0,0.0,4.707488611191598
purify-active,evidence-echo,2,2,0,0,2,0.0,0.0,0.6576197724933469,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,2,2,1.0,0.34238022750665303,1.0,0,0,,,,2,2,1.0,0.34238022750665303,1.0,2,0.3816312242782589,0.3556438575818462,2,1,0.5,0.09453120573423074,0.9054687942657693,0.5,0.09453120573423068,0.9054687942657693,2.0,0.0,4.707488611191598
purify-active,independent-noise,2,2,0,0,2,0.0,0.0,0.6576197724933469,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,2,2,1.0,0.34238022750665303,1.0,0,0,,,,0,0,,,,2,0.374777619720353,0.34832092322944597,2,1,0.5,0.09453120573423074,0.9054687942657693,0.5,0.09453120573423068,0.9054687942657693,2.0,0.0,4.707488611191598
purify-active,ood-severity,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,2,0.0,0.0,0.6576197724933469,0,0,,,,0,0,,,,2,0.12659318250507925,0.2782239482096255,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,4.0,1.0,5.174647808935769
purify-active,pose-calibration-drift,2,2,0,0,2,0.0,0.0,0.6576197724933469,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,2,2,1.0,0.34238022750665303,1.0,0,0,,,,0,0,,,,2,0.3808910470433278,0.3572883951046928,2,1,0.5,0.09453120573423074,0.9054687942657693,0.5,0.09453120573423068,0.9054687942657693,3.0,0.0,4.707488611191598
purify-active,shared-occlusion,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,2,0.0,0.0,0.6576197724933469,0,0,,,,0,0,,,,2,0.32357465783671213,0.2652271576822935,2,1,0.5,0.09453120573423074,0.9054687942657693,0.5,0.09453120573423068,0.9054687942657693,4.0,1.0,5.174647808935769
purify-active,structured-depth-dropout,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,2,0.2957381646830508,0.409854378945662,2,1,0.5,0.09453120573423074,0.9054687942657693,0.5,0.09453120573423068,0.9054687942657693,3.0,0.5,6.020887680605918
